lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
RAnkleAngles,,LWristAngles,,RNeckAngles,,,LHeadAngles,,,RKneeAngles,,,LElbowAngles,,,RWristAngles,,LSpineAngles,,
X,Y,X,Y,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,X,Y,
13.863473,-1.233627,2.100873,-29.214823,-11.525894,-7.665518,2.559276,2.501209,-7.876922,-0.613985,150.943512,-0.625576,-1.188644,57.577332,0.0,0.0,68.117813,-12.898663,-2.431837,7.889352,
13.85116,-1.233528,2.080642,-29.091671,-11.540705,-7.664283,2.628216,2.469524,-7.915623,-0.557144,150.95134,-0.67006,-1.188068,57.587006,0.0,0.0,68.02066,-12.934041,-2.409705,7.946249,
13.83997,-1.234854,2.061926,-28.970985,-11.55299,-7.659415,2.701675,2.437996,-7.956809,-0.49931,150.957825,-0.714306,-1.188126,57.604393,0.0,0.0,67.923111,-12.966649,-2.384396,8.00733,
13.830026,-1.237584,2.044796,-28.85288,-11.562742,-7.650832,2.77956,2.406631,-8.000402,-0.440499,150.962967,-0.758228,-1.188748,57.629524,0.0,0.0,67.825226,-12.996474,-2.355906,8.07265,
13.82134,-1.241704,2.029229,-28.737444,-11.569944,-7.638545,2.861875,2.375435,-8.046427,-0.380682,150.966858,-0.801799,-1.189882,57.66243,0.0,0.0,67.727173,-13.023568,-2.324252,8.142218,
13.813984,-1.247195,2.015326,-28.624805,-11.574576,-7.622518,2.948531,2.344408,-8.09487,-0.319883,150.969513,-0.844925,-1.191457,57.703064,0.0,0.0,67.629028,-13.047973,-2.289451,8.216066,
13.808049,-1.254023,2.003076,-28.514929,-11.576606,-7.602764,3.039503,2.313538,-8.145732,-0.258091,150.970993,-0.887546,-1.193362,57.751442,0.0,0.0,67.53093,-13.069706,-2.251497,8.294199,
13.803632,-1.26217,1.992524,-28.407972,-11.576059,-7.579294,3.134741,2.282862,-8.199049,-0.195276,150.971313,-0.929594,-1.195529,57.807564,0.0,0.0,67.432983,-13.08883,-2.210416,8.376655,
13.800798,-1.2716,1.983669,-28.303936,-11.572894,-7.552042,3.234155,2.252357,-8.254775,-0.131481,150.970551,-0.971005,-1.197844,57.871483,0.0,0.0,67.335304,-13.105367,-2.166191,8.463451,
13.799687,-1.282287,1.976579,-28.202923,-11.567108,-7.521037,3.337724,2.222038,-8.312912,-0.06664,150.968704,-1.011686,-1.20021,57.943138,0.0,0.0,67.23806,-13.119386,-2.118856,8.554567,
