lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
113.744606,34.804871,152.172531,1.112498,-44.691372,23.447266,51.523323,70.784988,-11.283977,162.240845,129.969864,-75.239944,43.546097,61.710152,-37.605667,-19.445688,0.68177,55.406242,-13.83466,42.913979,
113.940453,34.680386,152.106186,0.950148,-43.427376,25.070265,52.428501,70.329254,-11.123908,162.667221,131.264404,-75.241295,44.878014,61.077129,-37.639416,-20.125843,0.824725,55.538334,-13.417116,43.490028,
114.134567,34.541676,152.045898,0.792403,-42.106087,26.676453,53.429382,69.892761,-10.960045,163.060043,132.503632,-75.243866,46.144897,60.460915,-37.673679,-20.761913,0.971118,55.681046,-13.031447,44.012783,
114.32692,34.388863,151.991425,0.639285,-40.7243,28.259817,54.527981,69.478653,-10.794488,163.42009,133.690445,-75.248253,47.349968,59.861233,-37.708534,-21.354979,1.120855,55.834293,-12.678165,44.483032,
114.51757,34.222111,151.942657,0.490785,-39.278885,29.814154,55.726143,69.0895,-10.629017,163.748276,134.827652,-75.254936,48.496346,59.27784,-37.744064,-21.906059,1.273833,55.998024,-12.35767,44.901615,
114.706528,34.04158,151.899399,0.346898,-37.766773,31.33354,57.025463,68.727394,-10.465013,164.045654,135.917892,-75.264397,49.587006,58.710583,-37.780342,-22.416094,1.429948,56.172146,-12.070291,45.269382,
114.893837,33.847385,151.861526,0.207539,-36.185146,32.811867,58.427444,68.393906,-10.30358,164.313416,136.963882,-75.277008,50.624928,58.15926,-37.817425,-22.886093,1.589092,56.356575,-11.81625,45.587151,
115.079483,33.639629,151.828857,0.072668,-34.531395,34.243176,59.933189,68.09024,-10.145571,164.552612,137.968124,-75.293152,51.612823,57.623791,-37.85535,-23.316887,1.751155,56.551243,-11.595715,45.855762,
115.263565,33.418552,151.80127,-0.057784,-32.803436,35.621761,61.543411,67.81723,-9.99159,164.764435,138.932938,-75.31311,52.553352,57.104046,-37.89415,-23.709326,1.915991,56.756058,-11.408753,46.076035,
115.446121,33.184292,151.778595,-0.18391,-30.999575,36.941868,63.25816,67.57534,-9.842107,164.949905,139.86084,-75.337143,53.449261,56.599957,-37.933811,-24.064219,2.083471,56.970943,-11.255334,46.248718,
115.627235,32.937038,151.760712,-0.305847,-29.118738,38.198002,65.077194,67.364723,-9.697395,165.110092,140.754028,-75.365402,54.302998,56.111492,-37.974327,-24.382429,2.25343,57.195721,-11.13538,46.374626,
115.806992,32.677113,151.747437,-0.423724,-27.160583,39.384846,66.999199,67.185303,-9.557648,165.245941,141.6147,-75.398048,55.117107,55.638638,-38.015652,-24.664738,2.425723,57.430286,-11.048714,46.454529,
115.985474,32.404697,151.738663,-0.537672,-25.125629,40.49741,69.022224,67.036629,-9.42288,165.358322,142.444962,-75.435112,55.89386,55.181435,-38.057716,-24.911919,2.600171,57.674458,-10.995075,46.489166,
116.162857,32.120155,151.734192,-0.64791,-23.015505,41.530846,71.143082,66.918129,-9.293106,165.44809,143.246857,-75.476631,56.6357,54.739937,-38.100414,-25.124874,2.776558,57.92807,-10.9741,46.479305,
116.339226,31.82387,151.733871,-0.754594,-20.833,42.480667,73.357597,66.828888,-9.168182,165.515961,144.022232,-75.522507,57.344772,54.314228,-38.143635,-25.304342,2.954708,58.190876,-10.985351,46.42572,
116.514725,31.516108,151.737534,-0.857931,-18.581934,43.342819,75.660278,66.767731,-9.047989,165.562637,144.77298,-75.572609,58.023155,53.904427,-38.187199,-25.451187,3.134389,58.462643,-11.028268,46.329208,
116.68956,31.197535,151.744995,-0.958197,-16.267754,44.11359,78.04435,66.733337,-8.932291,165.588745,145.500702,-75.626755,58.672997,53.510689,-38.230927,-25.566368,3.315389,58.743042,-11.102188,46.190575,
116.863884,30.868496,151.756027,-1.055616,-13.897139,44.789806,80.501556,66.724091,-8.820807,165.594879,146.20694,-75.684669,59.296047,53.13319,-38.274593,-25.650734,3.497444,59.031807,-11.206323,46.010715,
117.037842,30.529613,151.770462,-1.15046,-11.478083,45.368847,83.022461,66.738159,-8.71324,165.58168,146.893082,-75.74601,59.894093,52.772156,-38.317944,-25.705278,3.680307,59.328552,-11.339766,45.790554,
117.2117,30.181557,151.78801,-1.243001,-9.019839,45.848618,85.596329,66.773483,-8.609252,165.549744,147.560287,-75.810394,60.468784,52.427784,-38.360676,-25.730982,3.863714,59.632904,-11.501464,45.531082,
117.385612,29.825052,151.808456,-1.333548,-6.532889,46.227821,88.21125,66.827873,-8.508451,165.499557,148.209518,-75.877357,61.021511,52.100334,-38.402481,-25.728939,4.0474,59.94445,-11.69023,45.233379,
117.559822,29.460751,151.831497,-1.422397,-4.02835,46.505852,90.85463,66.898827,-8.41043,165.431839,148.84169,-75.946335,61.553547,51.790073,-38.442963,-25.700268,4.231068,60.262726,-11.904754,44.898655,
117.734482,29.089506,151.856827,-1.50986,-1.518286,46.682777,93.51297,66.983704,-8.314737,165.347183,149.457169,-76.016792,62.065784,51.497276,-38.481766,-25.646086,4.414451,60.58728,-12.14352,44.528168,
117.909843,28.712231,151.884201,-1.596247,0.98528,46.759556,96.172867,67.079765,-8.220895,165.246399,150.056244,-76.088089,62.559021,51.222256,-38.518459,-25.567638,4.597241,60.917591,-12.404914,44.123371,
118.08606,28.329786,151.913162,-1.681902,3.470165,46.737785,98.820702,67.184082,-8.128403,165.130219,150.639008,-76.159508,63.033813,50.965237,-38.552563,-25.466299,4.779162,61.253117,-12.687109,43.685791,
118.263374,27.94323,151.94342,-1.767117,5.924739,46.619942,101.443436,67.29361,-8.036716,164.999588,151.205032,-76.230362,63.490322,50.726543,-38.583637,-25.343334,4.959929,61.593361,-12.988186,43.21714,
118.44191,27.553471,151.974564,-1.852211,8.337999,46.409119,104.02874,67.405304,-7.945276,164.855499,151.753677,-76.299873,63.928322,50.506454,-38.611179,-25.200148,5.13924,61.937725,-13.306016,42.719273,
118.621887,27.161705,152.006134,-1.937493,10.700022,46.109097,106.565277,67.516029,-7.853505,164.699036,152.283905,-76.367294,64.347458,50.305214,-38.634659,-25.03826,5.316823,62.285698,-13.638363,42.194187,
118.803398,26.76897,152.037674,-2.023274,13.001942,45.724106,109.042862,67.622734,-7.760785,164.531464,152.794418,-76.431808,64.746902,50.12307,-38.653564,-24.859192,5.492414,62.636673,-13.982855,41.644077,
118.986565,26.376375,152.068726,-2.109827,15.236402,45.259026,111.452942,67.722404,-7.666524,164.354095,153.283478,-76.492599,65.12545,49.960243,-38.667358,-24.664494,5.66574,62.990051,-14.336987,41.071289,
119.171501,25.98509,152.09874,-2.197436,17.397333,44.718979,113.788094,67.81221,-7.570086,164.168365,153.748962,-76.548882,65.481522,49.816914,-38.675533,-24.455814,5.836555,63.34531,-14.698157,40.478317,
119.358223,25.596279,152.127213,-2.286355,19.480202,44.109505,116.042618,67.889496,-7.47087,163.9758,154.188507,-76.599884,65.813271,49.693283,-38.677551,-24.234797,6.004625,63.701866,-15.063695,39.867821,
119.546791,25.211142,152.153549,-2.376838,21.481926,43.436081,118.212173,67.951866,-7.368266,163.778,154.599228,-76.644859,66.11834,49.589458,-38.672935,-24.003147,6.169733,64.059174,-15.430852,39.24263,
119.737152,24.83083,152.177185,-2.469115,23.400436,42.704632,120.293686,67.997192,-7.261697,163.576614,154.978149,-76.683037,66.394264,49.505535,-38.661179,-23.762625,6.331667,64.416725,-15.796854,38.60564,
119.929268,24.456469,152.197464,-2.563392,25.235207,41.920826,122.285492,68.023689,-7.150601,163.373276,155.321915,-76.713776,66.638069,49.441586,-38.641853,-23.514938,6.490236,64.773979,-16.158903,37.959938,
120.123055,24.089224,152.213791,-2.659869,26.986509,41.090496,124.186867,68.030014,-7.034472,163.169632,155.626907,-76.736443,66.846626,49.397652,-38.614563,-23.261803,6.645284,65.130455,-16.514231,37.308655,
120.318314,23.730167,152.225479,-2.758733,28.655458,40.219318,125.998039,68.015213,-6.91282,162.967316,155.889435,-76.750458,67.016571,49.373699,-38.578953,-23.005022,6.796664,65.485725,-16.860123,36.654972,
120.514877,23.380386,152.231857,-2.860131,30.244152,39.312801,127.720222,67.978699,-6.785244,162.767807,156.105637,-76.755356,67.144424,49.369736,-38.534737,-22.746222,6.94423,65.839348,-17.193892,36.002159,
120.712456,23.040903,152.232239,-2.964218,31.754938,38.376354,129.355011,67.920387,-6.651386,162.572556,156.271683,-76.750694,67.226646,49.38567,-38.481682,-22.487106,7.087887,66.190926,-17.512993,35.353462,
120.910751,22.712692,152.225922,-3.071128,33.190838,37.415001,130.904694,67.840622,-6.510926,162.382782,156.383606,-76.73616,67.259544,49.421432,-38.419651,-22.229284,7.227527,66.540092,-17.814968,34.712124,
121.10939,22.39661,152.212204,-3.181007,34.554993,36.433777,132.371933,67.740082,-6.363662,162.199661,156.437775,-76.711494,67.239601,49.476944,-38.348587,-21.97431,7.363079,66.886566,-18.097507,34.08131,
121.307915,22.093498,152.190369,-3.293973,35.851002,35.43726,133.75975,67.619904,-6.209395,162.024078,156.430466,-76.676529,67.163254,49.552052,-38.268513,-21.723679,7.494501,67.230011,-18.358471,33.464127,
121.505844,21.804106,152.159683,-3.410134,37.082294,34.429958,135.071213,67.481491,-6.048044,161.856812,156.358337,-76.631195,67.027191,49.646683,-38.179573,-21.478701,7.621728,67.570251,-18.595869,32.863556,
121.702576,21.529114,152.119461,-3.529626,38.252537,33.415901,136.309692,67.326584,-5.879561,161.698456,156.218292,-76.575531,66.828369,49.760696,-38.081978,-21.240665,7.74475,67.907013,-18.807932,32.282433,
121.897522,21.269106,152.06897,-3.652547,39.365269,32.399063,137.478561,67.15712,-5.703944,161.549301,156.007492,-76.50959,66.563866,49.893959,-37.976055,-21.010693,7.863523,68.240181,-18.993057,31.723442,
122.089989,21.024536,152.007523,-3.779033,40.423969,31.383001,138.581192,66.975204,-5.521232,161.409653,155.723541,-76.433563,66.231087,50.046375,-37.862247,-20.789787,7.978072,68.569611,-19.149897,31.189068,
122.279152,20.795801,151.934418,-3.909199,41.432018,30.370951,139.621048,66.783119,-5.331589,161.279541,155.364227,-76.347733,65.82766,50.217831,-37.741085,-20.578728,8.088384,68.895157,-19.277283,30.681591,
122.464226,20.583204,151.849014,-4.04322,42.392559,29.366156,140.601334,66.583153,-5.135157,161.158859,154.927811,-76.252411,65.35154,50.408249,-37.613239,-20.378275,8.194444,69.216805,-19.374281,30.203072,
122.644295,20.386936,151.750641,-4.181238,43.308712,28.371347,141.525497,66.377655,-4.9321,161.047379,154.412933,-76.147942,64.801056,50.617493,-37.479401,-20.188948,8.296279,69.534477,-19.440193,29.755316,
122.818382,20.207132,151.638687,-4.32342,44.183296,27.389051,142.396744,66.168869,-4.722683,160.944794,153.818359,-76.034798,64.174591,50.845539,-37.34045,-20.011042,8.393902,69.848183,-19.474566,29.339918,
122.985481,20.043726,151.512543,-4.469982,45.018932,26.421686,143.218018,65.959053,-4.507162,160.850769,153.143295,-75.913399,63.470844,51.092255,-37.197258,-19.844872,8.487333,70.157951,-19.477139,28.95813,
123.144455,19.896656,151.371613,-4.621113,45.8181,25.471182,143.992371,65.750313,-4.28591,160.764832,152.387146,-75.784264,62.688698,51.357609,-37.05085,-19.690346,8.576584,70.463783,-19.447905,28.611027,
123.294189,19.765688,151.215393,-4.777062,46.583038,24.539537,144.722641,65.544624,-4.05922,160.686508,151.549515,-75.647842,61.827179,51.641468,-36.902248,-19.547476,8.661619,70.765755,-19.387054,28.299419,
123.433456,19.650543,151.043365,-4.93809,47.315773,23.628325,145.411636,65.343758,-3.827521,160.615311,150.630157,-75.504593,60.885406,51.943748,-36.752575,-19.415976,8.74247,71.063904,-19.295023,28.023788,
123.560951,19.55088,150.855057,-5.10447,48.018181,22.739017,146.061905,65.149406,-3.591259,160.550751,149.62883,-75.35498,59.862514,52.26432,-36.602982,-19.295462,8.819118,71.358315,-19.172436,27.784418,
123.675354,19.466114,150.650024,-5.27651,48.691933,21.872774,146.676071,64.962967,-3.350909,160.49231,148.545547,-75.199318,58.757671,52.602993,-36.454613,-19.185484,8.891543,71.649109,-19.020142,27.58131,
123.775322,19.395809,150.427856,-5.454535,49.338478,21.030729,147.256348,64.785706,-3.106973,160.43959,147.380295,-75.03791,57.570271,52.959553,-36.308647,-19.085457,8.959688,71.936356,-18.839136,27.414232,
123.859413,19.339239,150.188171,-5.638872,49.959156,20.213676,147.805038,64.61866,-2.86007,160.39212,146.133057,-74.870895,56.299412,53.333706,-36.16626,-18.994734,9.023533,72.220093,-18.630663,27.282734,
123.92617,19.295723,149.930679,-5.8299,50.555141,19.422415,148.32431,64.462692,-2.610812,160.349472,144.803848,-74.698326,54.944336,53.725132,-36.028606,-18.912615,9.08299,72.500504,-18.39607,27.18611,
123.974121,19.264435,149.65506,-6.02798,51.127415,18.65732,148.816116,64.318542,-2.359857,160.31134,143.392929,-74.520027,53.504467,54.133369,-35.89677,-18.838394,9.138005,72.77758,-18.1369,27.123476,
124.001724,19.244537,149.361038,-6.233495,51.676907,17.918879,149.282379,64.186607,-2.107903,160.277313,141.900528,-74.335663,51.979191,54.557896,-35.771824,-18.77132,9.188461,73.051483,-17.854801,27.093712,
124.007454,19.235081,149.048431,-6.446856,52.204323,17.207314,149.724838,64.067276,-1.855772,160.247116,140.327087,-74.144684,50.368122,54.998096,-35.654755,-18.710722,9.23427,73.322205,-17.551565,27.09557,
123.989761,19.235054,148.716995,-6.668446,52.710411,16.522665,150.145172,63.960686,-1.604214,160.220444,138.673294,-73.946274,48.671047,55.453236,-35.546509,-18.655899,9.275302,73.589844,-17.229074,27.127598,
123.947128,19.243399,148.366592,-6.89866,53.195675,15.864925,150.544891,63.866886,-1.354095,160.197052,136.940308,-73.739395,46.888329,55.922474,-35.44791,-18.606245,9.311434,73.854439,-16.889297,27.188175,
123.877975,19.25893,147.997101,-7.137887,53.660656,15.233956,150.925476,63.785736,-1.106278,160.176758,135.129684,-73.522697,45.020615,56.404831,-35.359707,-18.561197,9.342499,74.115982,-16.534271,27.275644,
123.780853,19.280569,147.608398,-7.386535,54.105755,14.629494,151.288208,63.717003,-0.861695,160.159225,133.243591,-73.294624,43.069344,56.899254,-35.282566,-18.520372,9.368341,74.374504,-16.166054,27.38814,
