lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
0.349177,-32.196159,-15.399837,-1.961093,9.377185,-2.687674,-2.96854,12.807493,-2.838885,-8.256239,58.283562,0.0,0.0,-126.182541,32.710751,11.371116,-6.748843,4.195105,6.10245,1.419555,
0.309151,-32.131962,-15.409813,-1.946698,9.373851,-2.681991,-2.971323,12.81634,-2.848902,-8.204991,58.253227,0.0,0.0,-126.18087,32.721977,11.371817,-6.745309,4.214902,6.115236,1.429579,
0.266926,-32.058193,-15.420123,-1.932044,9.370284,-2.676138,-2.973629,12.827483,-2.859573,-8.153439,58.224514,0.0,0.0,-126.179245,32.734432,11.371308,-6.743545,4.235304,6.128566,1.439583,
0.222538,-31.974915,-15.430753,-1.917092,9.366471,-2.670154,-2.975507,12.840937,-2.870876,-8.10158,58.197399,0.0,0.0,-126.177673,32.748066,11.369697,-6.743574,4.25637,6.142439,1.449659,
0.176175,-31.882509,-15.441707,-1.90192,9.36242,-2.664112,-2.976988,12.856732,-2.882817,-8.049417,58.171757,0.0,0.0,-126.176239,32.762798,11.366831,-6.745426,4.27811,6.156853,1.459806,
0.128171,-31.781382,-15.452973,-1.88641,9.358127,-2.657926,-2.978095,12.874884,-2.895391,-7.996947,58.147495,0.0,0.0,-126.175079,32.778572,11.36272,-6.749125,4.300556,6.171801,1.470065,
0.078589,-31.671808,-15.464573,-1.87054,9.353595,-2.651627,-2.978859,12.895424,-2.908591,-7.944167,58.124542,0.0,0.0,-126.174232,32.795319,11.357239,-6.754694,4.323759,6.187295,1.480497,
0.02768,-31.55418,-15.476505,-1.854296,9.348837,-2.645235,-2.979348,12.918378,-2.922394,-7.891081,58.102768,0.0,0.0,-126.173752,32.812954,11.350457,-6.762168,4.347747,6.203328,1.491152,
-0.024233,-31.429129,-15.488769,-1.837669,9.343841,-2.638734,-2.979588,12.943783,-2.936815,-7.837693,58.082031,0.0,0.0,-126.173767,32.831398,11.342223,-6.771575,4.37253,6.219909,1.502031,
-0.07715,-31.296787,-15.501349,-1.820607,9.338596,-2.632138,-2.979632,12.971663,-2.95183,-7.784,58.062248,0.0,0.0,-126.174286,32.850574,11.332587,-6.782947,4.398162,6.237034,1.513214,
-0.130634,-31.15801,-15.514286,-1.803102,9.333128,-2.625483,-2.979512,13.002045,-2.967436,-7.73,58.043221,0.0,0.0,-126.175438,32.870403,11.321418,-6.796299,4.424693,6.254715,1.524753,
-0.184505,-31.01321,-15.527562,-1.78506,9.32741,-2.618694,-2.979305,13.034974,-2.983625,-7.675694,58.024849,0.0,0.0,-126.177292,32.8908,11.308717,-6.81167,4.452152,6.272963,1.536688,
-0.23864,-30.862835,-15.541188,-1.766541,9.321449,-2.611886,-2.979037,13.070479,-3.000384,-7.621086,58.006939,0.0,0.0,-126.179886,32.911671,11.29455,-6.829085,4.48058,6.291783,1.54908,
-0.292666,-30.707649,-15.555187,-1.747443,9.315246,-2.604967,-2.978775,13.108592,-3.017703,-7.566178,57.98933,0.0,0.0,-126.183319,32.932945,11.278739,-6.848561,4.509995,6.311194,1.56196,
-0.34641,-30.548222,-15.569542,-1.72777,9.308779,-2.59799,-2.978574,13.149343,-3.035586,-7.510967,57.971809,0.0,0.0,-126.187645,32.954525,11.26136,-6.870121,4.540461,6.331205,1.575388,
