lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
,,,,137.780243,-108.608444,34.709583,16.449188,0.0,0.0,,,,,,,,,115.155815,6.967844,
,,,,142.383896,-108.244331,38.676338,16.846624,0.0,0.0,,,,,,,,,114.936989,6.27964,
,,,,147.129593,-108.02504,42.760887,17.241287,0.0,0.0,,,,,,,,,114.71785,5.582044,
,,,,151.935974,-107.95311,46.883217,17.633305,0.0,0.0,,,,,,,,,114.498688,4.875632,
,,,,156.716751,-108.027367,50.95853,18.02277,0.0,0.0,,,,,,,,,114.279716,4.161077,
,,,,161.389435,-108.242943,54.905945,18.409864,0.0,0.0,,,,,,,,,114.061188,3.439239,
,,,,165.882706,-108.591789,58.656033,18.794714,0.0,0.0,,,,,,,,,113.843178,2.711267,
,,,,170.14119,-109.063347,62.155323,19.17745,0.0,0.0,,,,,,,,,113.625801,1.978337,
,,,,174.12764,-109.645584,65.368752,19.558256,0.0,0.0,,,,,,,,,113.409081,1.241925,
,,,,177.822144,-110.325806,68.278625,19.93725,0.0,0.0,,,,,,,,,113.192963,0.503558,
,,,,181.219452,-111.091438,70.882179,20.314581,0.0,0.0,,,,,,,,,112.977325,-0.234949,
,,,,184.325546,-111.930428,73.187889,20.690393,0.0,0.0,,,,,,,,,112.762016,-0.971795,
,,,,187.154404,-112.831718,75.212357,21.064791,0.0,0.0,,,,,,,,,112.546776,-1.70494,
,,,,189.724457,-113.785347,76.976784,21.43788,0.0,0.0,,,,,,,,,112.331306,-2.432304,
,,,,192.056992,-114.782394,78.50518,21.809729,0.0,0.0,,,,,,,,,112.115234,-3.151697,
,,,,194.173782,-115.815102,79.822159,22.180428,0.0,0.0,,,,,,,,,111.898178,-3.860935,
,,,,196.096436,-116.876678,80.952194,22.549992,0.0,0.0,,,,,,,,,111.679634,-4.557658,
,,,,197.845398,-117.961205,81.918571,22.918438,0.0,0.0,,,,,,,,,111.459122,-5.2396,
,,,,199.439774,-119.063553,82.743217,23.285746,0.0,0.0,,,,,,,,,111.236099,-5.904454,
,,,,200.897064,-120.17923,83.446396,23.651834,0.0,0.0,,,,,,,,,111.009949,-6.549922,
,,,,202.233078,-121.304283,84.046608,24.016663,0.0,0.0,,,,,,,,,110.780159,-7.173794,
,,,,203.462097,-122.435349,84.56073,24.380087,0.0,0.0,,,,,,,,,110.546059,-7.773871,
,,,,204.596909,-123.569298,85.004105,24.741978,0.0,0.0,,,,,,,,,110.307076,-8.348052,
,,,,205.648987,-124.703438,85.390442,25.102148,0.0,0.0,,,,,,,,,110.062622,-8.894376,
,,,,206.628464,-125.835304,85.732254,25.460403,0.0,0.0,,,,,,,,,109.812111,-9.41091,
,,,,207.544556,-126.962654,86.040703,25.816511,0.0,0.0,,,,,,,,,109.554962,-9.895899,
,,,,208.405289,-128.083496,86.325874,26.170219,0.0,0.0,,,,,,,,,109.290649,-10.347645,
,,,,209.217972,-129.195892,86.596733,26.52124,0.0,0.0,,,,,,,,,109.018677,-10.764722,
